id_cliente,nome,email,cidade,estado,idade
1,Dale Scolding,dscolding0@usnews.com,Saint Louis,MO,46
2,Gil Scroyton,gscroyton1@gravatar.com,Atlanta,GA,67
3,Fancy Miguet,fmiguet2@dell.com,Vancouver,WA,62
4,Natasha Downe,ndowne3@opensource.org,Los Angeles,CA,54
5,Katusha Crowcum,kcrowcum4@redcross.org,Virginia Beach,VA,23
6,Willi Esselen,wesselen5@gravatar.com,Toledo,OH,36
7,Grantley Charlot,gcharlot6@netvibes.com,Columbus,OH,46
8,Beverly Dickinson,bdickinson7@taobao.com,Columbus,OH,49
9,Bertrand Dommersen,bdommersen8@businessweek.com,Sacramento,CA,28
10,Vivienne Hanhard,vhanhard9@whitehouse.gov,Cleveland,OH,21
11,Julianna Miquelet,jmiqueleta@cloudflare.com,Reno,NV,65
12,Tani Suche,tsucheb@multiply.com,Torrance,CA,59
13,Ronda June,rjunec@who.int,Metairie,LA,31
14,Blair Zealey,bzealeyd@deliciousdays.com,Minneapolis,MN,71
15,Jerri Sissland,jsisslande@bbb.org,Cambridge,MA,68
16,Nickola Hathorn,nhathornf@artisteer.com,Naples,FL,27
17,Aluin Banstead,abansteadg@freewebs.com,Fresno,CA,51
18,Shelley Lowcock,slowcockh@is.gd,Knoxville,TN,37
19,Nonna Gorner,ngorneri@huffingtonpost.com,Peoria,IL,48
20,Julie Guerrier,jguerrierj@odnoklassniki.ru,Houston,TX,70
21,Anallese Odde,aoddek@rambler.ru,Laurel,MD,70
22,Gennie O'Sirin,gosirinl@sakura.ne.jp,Honolulu,HI,27
23,Valentine MacCurley,vmaccurleym@comsenz.com,Spokane,WA,31
24,Van Bowles,vbowlesn@bloglines.com,Portsmouth,NH,59
25,Krystle Sycamore,ksycamoreo@homestead.com,Dayton,OH,75
26,Diego Diggell,ddiggellp@theglobeandmail.com,Berkeley,CA,72
27,Amelita Vogel,avogelq@de.vu,Springfield,MO,33
28,Renee Cush,rcushr@networksolutions.com,Hartford,CT,70
29,Minor Catlin,mcatlins@mail.ru,Anchorage,AK,67
30,Julius Tibbs,jtibbst@google.ru,Largo,FL,75
31,Chandal Shay,cshayu@usda.gov,Flint,MI,30
32,Melita McGrady,mmcgradyv@archive.org,Springfield,IL,59
33,Joell Kach,jkachw@techcrunch.com,Lexington,KY,65
34,Lemuel Kubanek,lkubanekx@earthlink.net,Flint,MI,32
35,Ealasaid Hymers,ehymersy@sciencedirect.com,Trenton,NJ,36
36,Rossy Hargreaves,rhargreavesz@linkedin.com,Jacksonville,FL,32
37,Antonina Ducham,aducham10@fda.gov,Athens,GA,76
38,Dorette Claricoates,dclaricoates11@utexas.edu,Springfield,MA,22
39,Abbot Twinterman,atwinterman12@istockphoto.com,Pompano Beach,FL,26
40,Katleen Sandes,ksandes13@indiegogo.com,Tucson,AZ,78
41,Shannon Garlicke,sgarlicke14@moonfruit.com,Atlanta,GA,28
42,Ringo Macveigh,rmacveigh15@oaic.gov.au,Philadelphia,PA,53
43,Leontyne Van Halle,lvan16@geocities.com,Las Vegas,NV,59
44,Wes Mcasparan,wmcasparan17@goodreads.com,Baton Rouge,LA,22
45,Elvin Batey,ebatey18@latimes.com,Kansas City,MO,62
